,features,acc,prec,recall,f1,roc_curve,roc_auc,selection_criterion
10,['age'],0.6129032258064516,0.6470588235294118,0.6470588235294118,0.6470588235294118,"(array([0.        , 0.        , 0.        , 0.        , 0.07142857,
       0.14285714, 0.14285714, 0.28571429, 0.35714286, 0.35714286,
       0.42857143, 0.42857143, 0.57142857, 0.57142857, 0.71428571,
       0.78571429, 0.85714286, 1.        , 1.        ]), array([0.        , 0.05882353, 0.11764706, 0.23529412, 0.23529412,
       0.29411765, 0.35294118, 0.35294118, 0.41176471, 0.52941176,
       0.52941176, 0.64705882, 0.64705882, 0.76470588, 0.82352941,
       0.88235294, 0.88235294, 0.88235294, 1.        ]), array([1.96705184, 0.96705184, 0.96690707, 0.84933618, 0.75345362,
       0.73937971, 0.69724378, 0.68280261, 0.64590678, 0.63015832,
       0.62084935, 0.5845095 , 0.40662799, 0.38545463, 0.36867238,
       0.35013892, 0.3465537 , 0.26720165, 0.2172236 ]))",0.6071428571428572,max_entropy
11,['age'],0.6774193548387096,0.7058823529411765,0.7058823529411765,0.7058823529411765,"(array([0.        , 0.        , 0.        , 0.07142857, 0.14285714,
       0.14285714, 0.28571429, 0.28571429, 0.35714286, 0.35714286,
       0.35714286, 0.57142857, 0.64285714, 0.78571429, 0.78571429,
       0.85714286, 1.        ]), array([0.        , 0.05882353, 0.17647059, 0.23529412, 0.23529412,
       0.29411765, 0.29411765, 0.47058824, 0.52941176, 0.70588235,
       0.82352941, 0.88235294, 0.88235294, 0.94117647, 1.        ,
       1.        , 1.        ]), array([1.97665546, 0.97665546, 0.70969297, 0.70767461, 0.68873242,
       0.66353014, 0.61286581, 0.58552989, 0.55433862, 0.51985036,
       0.47923424, 0.43428184, 0.38104032, 0.36892809, 0.31172348,
       0.29673418, 0.23266795]))",0.6995798319327731,max_entropy
12,['age'],0.5483870967741935,0.5789473684210527,0.6470588235294118,0.6111111111111113,"(array([0.        , 0.        , 0.07142857, 0.21428571, 0.28571429,
       0.28571429, 0.28571429, 0.42857143, 0.42857143, 0.42857143,
       0.57142857, 0.57142857, 0.71428571, 0.92857143, 1.        ,
       1.        ]), array([0.        , 0.05882353, 0.17647059, 0.23529412, 0.23529412,
       0.29411765, 0.41176471, 0.41176471, 0.52941176, 0.58823529,
       0.64705882, 0.70588235, 0.70588235, 0.76470588, 0.82352941,
       1.        ]), array([1.96841217, 0.96841217, 0.94056729, 0.7214404 , 0.71719597,
       0.69733041, 0.68366188, 0.63806374, 0.61218043, 0.6121585 ,
       0.57980311, 0.46471889, 0.40180379, 0.38046577, 0.32570567,
       0.17873469]))",0.5168067226890757,max_entropy
13,['age'],0.6129032258064516,0.6190476190476191,0.7647058823529411,0.6842105263157895,"(array([0.        , 0.14285714, 0.21428571, 0.21428571, 0.21428571,
       0.42857143, 0.42857143, 0.5       , 0.57142857, 0.71428571,
       0.92857143, 1.        ]), array([0.        , 0.05882353, 0.05882353, 0.11764706, 0.29411765,
       0.35294118, 0.70588235, 0.76470588, 0.76470588, 0.94117647,
       1.        , 1.        ]), array([1.97261053, 0.97261053, 0.73158552, 0.68291779, 0.68172973,
       0.68171108, 0.58925984, 0.57993676, 0.56483466, 0.35089202,
       0.33205956, 0.21820744]))",0.5861344537815126,max_entropy
14,['age'],0.5483870967741935,0.6,0.5294117647058824,0.5625,"(array([0.        , 0.        , 0.        , 0.14285714, 0.21428571,
       0.21428571, 0.35714286, 0.35714286, 0.35714286, 0.42857143,
       0.57142857, 0.64285714, 0.78571429, 0.85714286, 0.85714286,
       0.92857143, 0.92857143, 0.92857143, 1.        ]), array([0.        , 0.05882353, 0.11764706, 0.11764706, 0.17647059,
       0.23529412, 0.23529412, 0.35294118, 0.47058824, 0.52941176,
       0.52941176, 0.52941176, 0.64705882, 0.64705882, 0.70588235,
       0.76470588, 0.94117647, 1.        , 1.        ]), array([1.96709428, 0.96709428, 0.85512403, 0.74018908, 0.70654708,
       0.69001365, 0.67656171, 0.66269561, 0.62584037, 0.54807289,
       0.42805102, 0.38558741, 0.34286074, 0.3354123 , 0.33511515,
       0.33253695, 0.29236865, 0.28504301, 0.23719149]))",0.4642857142857143,max_entropy
15,['age'],0.6451612903225806,0.65,0.7647058823529411,0.7027027027027027,"(array([0.        , 0.        , 0.14285714, 0.21428571, 0.21428571,
       0.35714286, 0.35714286, 0.42857143, 0.42857143, 0.5       ,
       0.5       , 0.78571429, 0.92857143, 1.        , 1.        ]), array([0.        , 0.11764706, 0.11764706, 0.11764706, 0.29411765,
       0.35294118, 0.47058824, 0.58823529, 0.64705882, 0.70588235,
       0.76470588, 0.76470588, 0.88235294, 0.88235294, 1.        ]), array([1.86032692, 0.86032692, 0.78732279, 0.74179577, 0.67594456,
       0.66679813, 0.64380642, 0.59645619, 0.59094337, 0.54941374,
       0.52301365, 0.41542409, 0.33086426, 0.21936741, 0.16348135]))",0.5567226890756303,max_entropy
16,['age'],0.7741935483870968,0.7777777777777778,0.8235294117647058,0.7999999999999999,"(array([0.        , 0.        , 0.        , 0.07142857, 0.14285714,
       0.14285714, 0.21428571, 0.28571429, 0.28571429, 0.28571429,
       0.92857143, 0.92857143, 1.        ]), array([0.        , 0.05882353, 0.11764706, 0.23529412, 0.23529412,
       0.58823529, 0.58823529, 0.70588235, 0.82352941, 0.88235294,
       0.88235294, 1.        , 1.        ]), array([1.97769353, 0.97769353, 0.6940598 , 0.62224732, 0.61843068,
       0.57940168, 0.57182078, 0.55382751, 0.50977579, 0.49052123,
       0.45173642, 0.28020757, 0.22152059]))",0.7563025210084033,max_entropy
17,['age'],0.5161290322580645,0.5555555555555556,0.5882352941176471,0.5714285714285715,"(array([0.        , 0.        , 0.14285714, 0.21428571, 0.21428571,
       0.28571429, 0.28571429, 0.28571429, 0.35714286, 0.5       ,
       0.57142857, 0.57142857, 0.57142857, 0.64285714, 0.64285714,
       0.71428571, 0.85714286, 1.        ]), array([0.        , 0.05882353, 0.05882353, 0.05882353, 0.11764706,
       0.11764706, 0.23529412, 0.41176471, 0.47058824, 0.52941176,
       0.52941176, 0.58823529, 0.70588235, 0.76470588, 0.82352941,
       0.94117647, 1.        , 1.        ]), array([1.85811788, 0.85811788, 0.83329516, 0.81246421, 0.71102809,
       0.70985896, 0.67149806, 0.66640177, 0.64591557, 0.63900488,
       0.63492492, 0.57156148, 0.45521357, 0.40378881, 0.33694939,
       0.33484963, 0.24997363, 0.24122787]))",0.5588235294117647,max_entropy
18,['age'],0.7096774193548387,0.7222222222222222,0.7647058823529411,0.7428571428571428,"(array([0.        , 0.        , 0.14285714, 0.14285714, 0.21428571,
       0.21428571, 0.21428571, 0.28571429, 0.35714286, 0.35714286,
       0.64285714, 0.85714286, 0.92857143, 0.92857143, 1.        ]), array([0.        , 0.05882353, 0.23529412, 0.35294118, 0.41176471,
       0.58823529, 0.70588235, 0.76470588, 0.76470588, 0.88235294,
       0.88235294, 0.88235294, 0.88235294, 0.94117647, 1.        ]), array([1.85628045, 0.85628045, 0.75265589, 0.69523508, 0.67417571,
       0.66385296, 0.6143859 , 0.6097209 , 0.59397687, 0.49642857,
       0.4338271 , 0.42136427, 0.41615852, 0.32320831, 0.20855105]))",0.7289915966386555,max_entropy
19,['age'],0.4838709677419355,0.5263157894736842,0.5882352941176471,0.5555555555555555,"(array([0.        , 0.        , 0.14285714, 0.21428571, 0.28571429,
       0.35714286, 0.35714286, 0.42857143, 0.42857143, 0.57142857,
       0.64285714, 0.64285714, 0.78571429, 0.85714286, 0.92857143,
       1.        ]), array([0.        , 0.05882353, 0.05882353, 0.11764706, 0.11764706,
       0.29411765, 0.35294118, 0.35294118, 0.41176471, 0.52941176,
       0.58823529, 0.70588235, 0.82352941, 0.82352941, 0.88235294,
       1.        ]), array([1.96378202, 0.96378202, 0.7800455 , 0.72593353, 0.72033681,
       0.71717763, 0.71132082, 0.64608839, 0.63552406, 0.54297903,
       0.5147046 , 0.40097671, 0.3785028 , 0.29762628, 0.28277818,
       0.22438961]))",0.46638655462184875,max_entropy
20,['age' 'thalach'],0.7741935483870968,0.75,0.8823529411764706,0.8108108108108107,"(array([0.        , 0.        , 0.        , 0.07142857, 0.07142857,
       0.21428571, 0.21428571, 0.35714286, 0.35714286, 1.        ]), array([0.        , 0.05882353, 0.11764706, 0.11764706, 0.58823529,
       0.58823529, 0.88235294, 0.88235294, 1.        , 1.        ]), array([1.99639850e+00, 9.96398495e-01, 9.93350072e-01, 9.92791329e-01,
       9.03925460e-01, 8.65117343e-01, 5.80611009e-01, 5.44260365e-01,
       1.77260150e-01, 1.80516733e-03]))",0.861344537815126,mutual_information
21,['age' 'thalach'],0.8064516129032258,0.7894736842105263,0.8823529411764706,0.8333333333333333,"(array([0.        , 0.        , 0.        , 0.07142857, 0.07142857,
       0.28571429, 0.28571429, 0.35714286, 0.35714286, 1.        ,
       1.        ]), array([0.        , 0.05882353, 0.58823529, 0.58823529, 0.76470588,
       0.76470588, 0.88235294, 0.88235294, 0.94117647, 0.94117647,
       1.        ]), array([1.99645101e+00, 9.96451014e-01, 8.97485381e-01, 8.12345917e-01,
       7.44174410e-01, 5.69489965e-01, 5.18464048e-01, 3.63680506e-01,
       3.51494713e-01, 2.77595405e-04, 4.75926554e-05]))",0.8739495798319328,mutual_information
22,['age' 'thalach'],0.8064516129032258,0.8666666666666667,0.7647058823529411,0.8125,"(array([0.        , 0.07142857, 0.07142857, 0.14285714, 0.14285714,
       0.21428571, 0.21428571, 0.42857143, 0.42857143, 0.57142857,
       0.85714286, 1.        ]), array([0.        , 0.        , 0.47058824, 0.47058824, 0.82352941,
       0.82352941, 0.94117647, 0.94117647, 1.        , 1.        ,
       1.        , 1.        ]), array([2.00000000e+00, 1.00000000e+00, 7.68034934e-01, 7.46609514e-01,
       3.98288181e-01, 3.09411961e-01, 2.79705967e-01, 5.85398955e-02,
       5.84832056e-02, 1.36712719e-02, 2.21226213e-03, 7.50799226e-04]))",0.8655462184873949,mutual_information
23,['age' 'thalach'],0.8709677419354839,0.8823529411764706,0.8823529411764706,0.8823529411764706,"(array([0.        , 0.        , 0.        , 0.14285714, 0.14285714,
       0.5       , 0.5       , 1.        ]), array([0.        , 0.05882353, 0.70588235, 0.70588235, 0.88235294,
       0.88235294, 1.        , 1.        ]), array([1.99449175e+00, 9.94491749e-01, 8.40648977e-01, 6.48964156e-01,
       5.09877906e-01, 4.82667048e-02, 4.12040995e-02, 4.05890791e-05]))",0.9159663865546218,mutual_information
24,['age' 'thalach'],0.7741935483870968,0.8125,0.7647058823529411,0.787878787878788,"(array([0.        , 0.        , 0.        , 0.07142857, 0.07142857,
       0.14285714, 0.14285714, 0.21428571, 0.21428571, 0.42857143,
       0.42857143, 1.        ]), array([0.        , 0.05882353, 0.41176471, 0.41176471, 0.58823529,
       0.58823529, 0.70588235, 0.70588235, 0.88235294, 0.88235294,
       1.        , 1.        ]), array([1.99993657e+00, 9.99936573e-01, 9.66677964e-01, 9.34422950e-01,
       8.91600352e-01, 8.38126717e-01, 5.34091818e-01, 5.20388641e-01,
       1.84854973e-01, 1.22884232e-01, 9.29796196e-02, 3.16067079e-04]))",0.8823529411764706,mutual_information
25,['age' 'thalach'],0.6774193548387096,0.6842105263157895,0.7647058823529411,0.7222222222222222,"(array([0.        , 0.        , 0.        , 0.28571429, 0.28571429,
       0.42857143, 0.42857143, 0.57142857, 0.57142857, 0.85714286,
       0.85714286, 1.        ]), array([0.        , 0.05882353, 0.64705882, 0.64705882, 0.70588235,
       0.70588235, 0.88235294, 0.88235294, 0.94117647, 0.94117647,
       1.        , 1.        ]), array([1.99990699e+00, 9.99906990e-01, 9.71316001e-01, 8.77362862e-01,
       8.21657770e-01, 6.64609708e-01, 4.37428016e-01, 2.91220918e-01,
       2.68001076e-01, 5.51515665e-03, 5.05753754e-03, 5.30677890e-05]))",0.823529411764706,mutual_information
26,['age' 'thalach'],0.8064516129032258,0.8235294117647058,0.8235294117647058,0.8235294117647058,"(array([0.        , 0.        , 0.        , 0.        , 0.        ,
       0.        , 0.07142857, 0.07142857, 0.07142857, 0.14285714,
       0.14285714, 0.21428571, 0.21428571, 0.71428571, 0.71428571,
       1.        ]), array([0.        , 0.05882353, 0.17647059, 0.29411765, 0.41176471,
       0.52941176, 0.52941176, 0.58823529, 0.70588235, 0.70588235,
       0.82352941, 0.82352941, 0.94117647, 0.94117647, 1.        ,
       1.        ]), array([1.99809269e+00, 9.98092691e-01, 9.93162556e-01, 9.81175560e-01,
       9.68327495e-01, 8.99455510e-01, 8.95529719e-01, 8.89105626e-01,
       8.62109009e-01, 8.27317093e-01, 7.65334403e-01, 5.55327322e-01,
       3.64304015e-01, 8.66887459e-02, 6.71768354e-02, 1.45712759e-03]))",0.9033613445378151,mutual_information
27,['age' 'thalach'],0.8387096774193549,0.8333333333333334,0.8823529411764706,0.8571428571428571,"(array([0.        , 0.        , 0.        , 0.07142857, 0.07142857,
       0.14285714, 0.14285714, 0.42857143, 0.42857143, 0.57142857,
       0.57142857, 1.        ]), array([0.        , 0.05882353, 0.64705882, 0.64705882, 0.70588235,
       0.70588235, 0.88235294, 0.88235294, 0.94117647, 0.94117647,
       1.        , 1.        ]), array([1.99892557e+00, 9.98925568e-01, 8.82743662e-01, 8.20523670e-01,
       7.51716206e-01, 7.10680795e-01, 5.54524470e-01, 1.93389893e-01,
       1.31025290e-01, 3.48558389e-02, 2.77323295e-02, 1.13612695e-04]))",0.9117647058823529,mutual_information
28,['age' 'thalach'],0.8064516129032258,0.8666666666666667,0.7647058823529411,0.8125,"(array([0.        , 0.        , 0.        , 0.07142857, 0.07142857,
       0.35714286, 0.35714286, 0.42857143, 0.42857143, 1.        ]), array([0.        , 0.05882353, 0.29411765, 0.29411765, 0.76470588,
       0.76470588, 0.88235294, 0.88235294, 1.        , 1.        ]), array([1.99372495e+00, 9.93724946e-01, 9.06625060e-01, 8.44662952e-01,
       6.47056020e-01, 4.81894774e-01, 3.57558880e-01, 9.49888451e-02,
       6.14524140e-02, 4.09970921e-04]))",0.8739495798319327,mutual_information
29,['age' 'thalach'],0.7419354838709677,0.7142857142857143,0.8823529411764706,0.7894736842105262,"(array([0.        , 0.07142857, 0.07142857, 0.21428571, 0.21428571,
       0.35714286, 0.35714286, 0.57142857, 0.57142857, 1.        ]), array([0.        , 0.        , 0.52941176, 0.52941176, 0.76470588,
       0.76470588, 0.88235294, 0.88235294, 1.        , 1.        ]), array([1.99988911e+00, 9.99889113e-01, 9.78939370e-01, 9.22308478e-01,
       8.32260913e-01, 7.26227368e-01, 5.53507313e-01, 3.65639956e-01,
       1.10109422e-01, 7.98441702e-04]))",0.8025210084033614,mutual_information
